direction,slice,function,base,test
better,coreutils::O0::du,hash_find_entry,0.0,0.1
better,coreutils::O0::du,hash_print_statistics,0.6666666666666666,0.8333333333333334
better,coreutils::O0::du,process_file,0.23529411764705882,0.35294117647058826
better,coreutils::O0::du,transfer_entries,0.0,0.1111111111111111
better,coreutils::O0::env,list_signal_handling,0.14285714285714285,0.42857142857142855
better,coreutils::O0::env,main,0.5833333333333334,0.6666666666666666
better,coreutils::O0::env,parse_block_signal_params,0.3333333333333333,0.5
better,coreutils::O0::env,parse_signal_action_params,0.42857142857142855,0.5714285714285714
better,coreutils::O0::env,reset_signal_handlers,0.6666666666666666,0.8333333333333334
better,coreutils::O0::env,set_signal_proc_mask,0.5,0.75
better,coreutils::O0::expand,expand,0.5714285714285714,0.7142857142857143
better,coreutils::O0::expand,next_file,0.2,0.4
better,coreutils::O0::expr,eval7,0.0,0.5
better,coreutils::O0::expr,main,0.5,0.75
better,coreutils::O0::fmt,fmt,0.3333333333333333,0.6666666666666666
better,coreutils::O0::fmt,get_line,0.4,0.6
better,coreutils::O0::fold,fold_file,0.75,0.8333333333333334
better,coreutils::O0::ginstall,change_attributes,0.25,0.5
better,coreutils::O0::ginstall,copy,0.2,0.3
better,coreutils::O0::ginstall,copy_dir,0.15,0.25
better,coreutils::O0::ginstall,copy_file,0.16666666666666666,0.3333333333333333
better,coreutils::O0::ginstall,copy_internal,0.49206349206349204,0.5714285714285714
better,coreutils::O0::ginstall,copy_reg,0.6,0.6857142857142857
better,coreutils::O0::ginstall,create_hole,0.6,0.8
better,coreutils::O0::ginstall,follow_fstatat,0.42857142857142855,0.5714285714285714
better,coreutils::O0::ginstall,get_ids,0.25,0.75
better,coreutils::O0::ginstall,hash_find_entry,0.0,0.1
better,coreutils::O0::ginstall,hash_print_statistics,0.6666666666666666,0.8333333333333334
better,coreutils::O0::ginstall,install_file_in_file,0.5,0.6666666666666666
better,coreutils::O0::ginstall,mkancesdirs_safe_wd,0.6666666666666666,0.7777777777777778
better,coreutils::O0::ginstall,need_copy,0.7333333333333333,0.8666666666666667
better,coreutils::O0::ginstall,restorecon_private,0.38461538461538464,0.46153846153846156
better,coreutils::O0::ginstall,same_file_ok,0.4375,0.8125
better,coreutils::O0::ginstall,set_file_security_ctx,0.4,0.6
better,coreutils::O0::ginstall,set_process_security_ctx,0.375,0.5
better,coreutils::O0::ginstall,setdefaultfilecon,0.25,0.5
better,coreutils::O0::ginstall,should_dereference,0.0,0.5
better,coreutils::O0::ginstall,source_is_dst_backup,0.6363636363636364,0.7272727272727273
better,coreutils::O0::ginstall,sparse_copy,0.5833333333333334,0.625
better,coreutils::O0::ginstall,transfer_entries,0.0,0.1111111111111111
better,coreutils::O0::groups,print_group_list,0.5454545454545454,0.8181818181818182
better,coreutils::O0::head,elide_tail_bytes_pipe,0.7142857142857143,0.75
better,coreutils::O0::head,elide_tail_lines_pipe,0.4375,0.5
better,coreutils::O0::head,head,0.42857142857142855,0.8571428571428571
better,coreutils::O0::head,head_lines,0.625,0.75
better,coreutils::O0::head,string_to_integer,0.0,0.5
better,coreutils::O0::hostid,main,0.3333333333333333,0.6666666666666666
better,coreutils::O0::id,print_full_info,0.42857142857142855,0.7142857142857143
better,coreutils::O0::id,print_group_list,0.5454545454545454,0.8181818181818182
better,coreutils::O0::join,advance_seq,0.25,0.5
better,coreutils::O0::join,get_line,0.2,0.4
better,coreutils::O0::join,main,0.7857142857142857,0.9285714285714286
better,coreutils::O0::kill,list_signals,0.625,0.75
better,coreutils::O0::kill,main,0.7142857142857143,0.8571428571428571
better,coreutils::O0::ln,do_link,0.7222222222222222,0.8333333333333334
