slice,function,round_e,round_f,delta
diffutils::O0::diff,print_1sdiff_line,0.6667,0.7778,0.1111
diffutils::O0::diff,print_context_label,0.625,0.75,0.125
diffutils::O0::diff,scan_char_literal,0.8571,0.7143,-0.1429
diffutils::O0::diff,tab_from_to,0.8,1.0,0.2
diffutils::O0::diff,zalloc,0.5,1.0,0.5
diffutils::O0::diff3,dotlines,0.6667,0.8333,0.1667
diffutils::O0::diff3,output_diff3,0.5789,0.6316,0.0526
diffutils::O0::sdiff,ck_fopen,0.6667,1.0,0.3333
diffutils::O0::sdiff,expand_name,0.625,0.875,0.25
diffutils::O0::sdiff,temporary_file,0.25,1.0,0.75
diffutils::O2-noinline::cmp,cmp,0.2093,0.2326,0.0233
diffutils::O2-noinline::diff,compare_files,0.1071,0.1429,0.0357
diffutils::O2-noinline::diff,dir_read,0.1538,0.2308,0.0769
diffutils::O2-noinline::diff,find_and_hash_each_line,0.2581,0.3548,0.0968
diffutils::O2-noinline::diff,print_half_line,0.25,0.3125,0.0625
diffutils::O2-noinline::diff,print_ifdef_lines,0.3,0.4,0.1
diffutils::O2::cmp,main,0.2143,0.2321,0.0179
diffutils::O2::diff,compare_files,0.1071,0.1429,0.0357
diffutils::O2::diff,dir_read,0.1538,0.2308,0.0769
diffutils::O2::diff,print_ifdef_lines,0.3,0.4,0.1
findutils::O0::find,apply_predicate,0.0,0.3333,0.3333
findutils::O0::find,check_name_arg,0.3333,1.0,0.6667
findutils::O0::find,checked_print_quoted,0.25,0.5,0.25
findutils::O0::find,digest_mode,0.4,0.8,0.4
findutils::O0::find,estimate_fstype_success_rate,0.5,0.75,0.25
findutils::O0::find,fatal_nontarget_file_error,0.5,1.0,0.5
findutils::O0::find,fatal_target_file_error,0.5,1.0,0.5
findutils::O0::find,find_parser,0.6667,1.0,0.3333
findutils::O0::find,get_info,0.25,0.5,0.25
findutils::O0::find,get_statinfo,0.0,0.6667,0.6667
findutils::O0::find,is_feasible_path_argument,0.6667,1.0,0.3333
findutils::O0::find,match_lname,0.3333,0.6667,0.3333
findutils::O0::find,nonfatal_nontarget_file_error,0.5,1.0,0.5
findutils::O0::find,nonfatal_target_file_error,0.5,1.0,0.5
findutils::O0::find,parse_daystart,0.0,0.25,0.25
findutils::O0::find,partial_quotearg_n,0.6667,1.0,0.3333
findutils::O0::find,pred_and,0.0,0.3333,0.3333
findutils::O0::find,pred_comma,0.0,0.3333,0.3333
findutils::O0::find,pred_context,0.4,0.6,0.2
findutils::O0::find,pred_delete,0.25,0.5,0.25
findutils::O0::find,pred_empty,0.2857,0.4286,0.1429
