slice,function,round_e,round_f,delta
findutils::O0::find,pred_exec,0.0,0.3333,0.3333
findutils::O0::find,pred_fls,0.25,0.5,0.25
findutils::O0::find,pred_fprint,0.0,0.3333,0.3333
findutils::O0::find,pred_fprint0,0.25,0.5,0.25
findutils::O0::find,pred_ilname,0.0,0.3333,0.3333
findutils::O0::find,pred_lname,0.0,0.3333,0.3333
findutils::O0::find,pred_name_common,0.8,1.0,0.2
findutils::O0::find,pred_negate,0.0,0.3333,0.3333
findutils::O0::find,pred_newerXY,0.1667,0.3333,0.1667
findutils::O0::find,pred_or,0.0,0.3333,0.3333
findutils::O0::find,pred_print,0.0,0.3333,0.3333
findutils::O0::find,pred_samefile,0.0,0.3333,0.3333
findutils::O0::find,pred_xtype,0.0,0.2,0.2
findutils::O0::find,record_exec_dir,0.25,0.5,0.25
findutils::O0::find,report_file_err,0.5,0.75,0.25
findutils::O0::find,safely_quote_err_filename,0.5,1.0,0.5
grep::O0::grep,Pexecute,0.7,0.85,0.15
grep::O0::grep,acexec_trans,0.4118,0.4706,0.0588
grep::O0::grep,fgrep_to_grep_pattern,0.625,0.75,0.125
grep::O0::grep,kwsfree,0.0,0.3333,0.3333
grep::O0::grep,kwsmusts,0.3333,0.6667,0.3333
grep::O0::grep,memchr_kwset,0.6667,0.8333,0.1667
grep::O0::grep,parse_grep_colors,0.6667,0.8333,0.1667
grep::O2::grep,GEAcompile,0.2683,0.2927,0.0244
grep::O2::grep,main,0.1923,0.1795,-0.0128
gzip::O0::gzip,add_envopt,0.5,0.625,0.125
gzip::O0::gzip,create_outfile,0.875,1.0,0.125
gzip::O0::gzip,do_list,0.4286,0.5714,0.1429
gzip::O0::gzip,get_suffix,0.5455,0.6364,0.0909
gzip::O0::gzip,make_ofname,0.0,1.0,1.0
gzip::O0::gzip,savedir,0.5,0.75,0.25
gzip::O0::gzip,treat_dir,0.625,0.875,0.25
gzip::O0::gzip,treat_file,0.8571,1.0,0.1429
gzip::O0::gzip,xrealloc,0.6667,1.0,0.3333
gzip::O0::gzip,xreallocarray,0.75,1.0,0.25
shadow::O0::chage,close_files,0.5,1.0,0.5
shadow::O0::chage,fail_exit,0.6,1.0,0.4
shadow::O0::chage,main,0.6,0.7,0.1
shadow::O0::chage,open_files,0.4,0.8,0.4
shadow::O0::check_subid_range,main,0.8333,1.0,0.1667
shadow::O0::chfn,fail_exit,0.6667,1.0,0.3333
shadow::O0::chfn,main,0.5556,0.7778,0.2222
