slice,function,round_f,round_g,delta
coreutils::O2-noinline::runcon,main,0.3333,0.4,0.0667
coreutils::O2-noinline::seq,long_double_format,0.0,0.1111,0.1111
coreutils::O2-noinline::shred,dir_name,0.0,0.5,0.5
coreutils::O2-noinline::shuf,write_permuted_lines,0.1667,0.3333,0.1667
coreutils::O2-noinline::shuf,write_random_lines,0.25,0.375,0.125
coreutils::O2-noinline::sort,add_temp_dir,0.0,1.0,1.0
coreutils::O2-noinline::sort,badfieldspec,0.5,1.0,0.5
coreutils::O2-noinline::sort,general_numcompare,0.0,0.6667,0.6667
coreutils::O2-noinline::sort,nan_compare,0.0,0.5,0.5
coreutils::O2-noinline::stat,dir_name,0.0,0.5,0.5
coreutils::O2-noinline::stdbuf,dir_name,0.0,0.5,0.5
coreutils::O2-noinline::stdbuf,set_LD_PRELOAD,0.5,0.625,0.125
coreutils::O2-noinline::stdbuf,set_libstdbuf_options,0.0,0.1667,0.1667
coreutils::O2-noinline::tail,tail,0.5,1.0,0.5
coreutils::O2-noinline::vdir,dired_outbuf,0.5,1.0,0.5
coreutils::O2-noinline::vdir,do_lstat,0.0,0.5,0.5
coreutils::O2-noinline::vdir,do_stat,0.0,0.5,0.5
coreutils::O2-noinline::vdir,do_statx,0.25,0.5,0.25
coreutils::O2-noinline::vdir,file_has_acl_cache,0.0,0.25,0.25
coreutils::O2-noinline::vdir,getfilecon_cache,0.2,0.4,0.2
coreutils::O2-noinline::vdir,stat_for_ino,0.0,0.5,0.5
coreutils::O2-noinline::vdir,stat_for_mode,0.0,0.5,0.5
coreutils::O2-noinline::wc,isnbspace,0.0,1.0,1.0
coreutils::O2::chroot,main,0.2143,0.2857,0.0714
coreutils::O2::cp,defaultcon,0.1,0.3,0.2
coreutils::O2::cp,dir_name,0.0,0.5,0.5
coreutils::O2::cp,force_linkat,0.2727,0.5455,0.2727
coreutils::O2::cp,force_symlinkat,0.2222,0.4444,0.2222
coreutils::O2::cp,main,0.3846,0.6923,0.3077
coreutils::O2::cp,overwrite_ok,0.375,0.5,0.125
coreutils::O2::cp,restorecon_private,0.1333,0.2667,0.1333
coreutils::O2::cp,samedir_template,0.0,0.1,0.1
coreutils::O2::cp,set_process_security_ctx,0.2222,0.3333,0.1111
coreutils::O2::cp,try_link,0.0,0.3333,0.3333
coreutils::O2::cp,try_symlink,0.0,0.3333,0.3333
coreutils::O2::df,dir_name,0.0,0.5,0.5
