direction,slice,function,base,test
better,coreutils::O2-noinline::chgrp,describe_change,0.09090909090909091,0.5454545454545454
better,coreutils::O2-noinline::chmod,describe_change,0.18181818181818182,0.2727272727272727
better,coreutils::O2-noinline::csplit,check_for_offset,0.0,0.3333333333333333
better,coreutils::O2-noinline::chown,describe_change,0.09090909090909091,0.5454545454545454
better,coreutils::O2-noinline::dircolors,append_entry,0.09090909090909091,0.2727272727272727
better,coreutils::O2-noinline::dircolors,dc_parse_stream,0.4666666666666667,0.5333333333333333
better,coreutils::O2::vdir,file_failure,0.5,0.75
better,coreutils::O2::vdir,extract_dirs_from_files,0.08333333333333333,0.16666666666666666
better,coreutils::O2::vdir,quote_name,0.21052631578947367,0.2631578947368421
better,coreutils::O2-noinline::dd,ifd_reopen,0.6,0.8
better,coreutils::O2-noinline::dd,skip,0.4,0.5
better,coreutils::O2-noinline::env,parse_signal_action_params,0.14285714285714285,0.2857142857142857
better,coreutils::O2-noinline::env,parse_block_signal_params,0.3333333333333333,0.5
better,coreutils::O2-noinline::df,get_dev,0.26666666666666666,0.3
better,coreutils::O2-noinline::df,get_entry,0.0,0.5
better,coreutils::O2-noinline::df,decode_output_arg,0.0,0.16666666666666666
better,coreutils::O2-noinline::expr,str_value,0.0,0.5
better,coreutils::O2-noinline::cp,decode_preserve_arg,0.1111111111111111,0.2222222222222222
better,coreutils::O2-noinline::cp,overwrite_ok,0.25,0.375
better,coreutils::O2-noinline::cp,abandon_move,0.16666666666666666,0.3333333333333333
better,coreutils::O2-noinline::cp,create_hole,0.4,0.6
better,coreutils::O2-noinline::cp,sparse_copy,0.25,0.3333333333333333
better,coreutils::O2-noinline::cp,emit_verbose,0.0,0.6
better,coreutils::O2-noinline::cp,create_hard_link,0.25,0.5
better,coreutils::O2-noinline::cp,set_process_security_ctx,0.0,0.25
better,coreutils::O2-noinline::cp,set_file_security_ctx,0.2,0.4
better,coreutils::O2-noinline::cp,copy_reg,0.3235294117647059,0.35294117647058826
better,coreutils::O2-noinline::cp,copy_dir,0.15,0.2
better,coreutils::O2-noinline::cp,remember_copied,0.4,0.6
better,coreutils::O2-noinline::fmt,get_paragraph,0.0,0.3333333333333333
better,coreutils::O2-noinline::fmt,fmt,0.3333333333333333,0.6666666666666666
better,coreutils::O2-noinline::dir,queue_directory,0.25,0.75
better,coreutils::O2-noinline::dir,format_user_or_group_width,0.25,0.5
better,coreutils::O2-noinline::dir,get_link_name,0.3333333333333333,0.6666666666666666
better,coreutils::O2-noinline::dir,basename_is_dot_or_dotdot,0.0,0.5
better,coreutils::O2-noinline::dir,format_user_or_group,0.3333333333333333,0.5
better,coreutils::O2-noinline::dir,quote_name,0.2857142857142857,0.35714285714285715
better,coreutils::O2-noinline::dir,extract_dirs_from_files,0.125,0.25
better,coreutils::O2-noinline::date,batch_convert,0.3,0.4
better,coreutils::O2-noinline::head,elseek,0.3333333333333333,0.5
better,coreutils::O2-noinline::head,elide_tail_lines_pipe,0.15789473684210525,0.21052631578947367
better,coreutils::O2-noinline::head,head_lines,0.375,0.5
better,coreutils::O2-noinline::head,head_bytes,0.16666666666666666,0.3333333333333333
better,coreutils::O2-noinline::head,elide_tail_lines_seekable,0.4166666666666667,0.5
better,coreutils::O2-noinline::head,elide_tail_bytes_pipe,0.18518518518518517,0.2222222222222222
better,coreutils::O2-noinline::head,elide_tail_bytes_file,0.3333333333333333,0.4444444444444444
better,coreutils::O2-noinline::head,head,0.7142857142857143,0.8571428571428571
better,coreutils::O2-noinline::join,string_to_join_field,0.25,0.5
better,coreutils::O2-noinline::join,getseq,0.25,0.5
better,coreutils::O2-noinline::join,advance_seq,0.5,0.75
better,coreutils::O2-noinline::join,system_join,0.2,0.3333333333333333
better,coreutils::O2-noinline::ln,convert_abs_rel,0.0,0.16666666666666666
better,coreutils::O2-noinline::ln,relpath,0.125,0.375
better,coreutils::O2-noinline::mktemp,mkdtemp_len,0.5,0.75
better,coreutils::O2-noinline::mktemp,mkstemp_len,0.5,0.75
better,coreutils::O2-noinline::mkdir,process_dir,0.0,0.2
better,coreutils::O2-noinline::mkdir,announce_mkdir,0.0,0.3333333333333333
better,coreutils::O2-noinline::mkdir,make_ancestor,0.16666666666666666,0.3333333333333333
better,coreutils::O2-noinline::numfmt,simple_strtod_float,0.2727272727272727,0.36363636363636365
better,coreutils::O2-noinline::ginstall,process_dir,0.0,0.2
better,coreutils::O2-noinline::ginstall,announce_mkdir,0.0,0.3333333333333333
better,coreutils::O2-noinline::ginstall,make_ancestor,0.4,0.6
better,coreutils::O2-noinline::ginstall,copy_file,0.3333333333333333,0.5
better,coreutils::O2-noinline::ginstall,change_timestamps,0.2,0.4
better,coreutils::O2-noinline::ginstall,change_attributes,0.25,0.5
better,coreutils::O2-noinline::ginstall,install_file_in_file,0.6666666666666666,0.8333333333333334
better,coreutils::O2-noinline::ginstall,install_file_in_file_parents,0.0,0.6666666666666666
better,coreutils::O2-noinline::ginstall,install_file_in_dir,0.2727272727272727,0.36363636363636365
better,coreutils::O2-noinline::ginstall,overwrite_ok,0.25,0.375
better,coreutils::O2-noinline::ginstall,abandon_move,0.16666666666666666,0.3333333333333333
better,coreutils::O2-noinline::ginstall,create_hole,0.4,0.6
better,coreutils::O2-noinline::ginstall,sparse_copy,0.25,0.3333333333333333
better,coreutils::O2-noinline::ginstall,emit_verbose,0.0,0.6
better,coreutils::O2-noinline::ginstall,create_hard_link,0.25,0.5
better,coreutils::O2-noinline::ginstall,set_process_security_ctx,0.0,0.25
